time_sec	shot
4617.014	792
4618.166	793
4619.39	794
4622.976	795
4624.101	796
4625.976	797
4627.104	798
4629.859	799
4631.025	800
4632.445	801
4633.654	802
4635.783	803
4641.494	804
4643.122	805
4645.126	806
4647.165	807
4650.421	808
4658.305	809
4663.642	810
4666.602	811
4668.565	812
4672.026	813
4682.161	814
4684.079	815
4692.965	816
4695.343	817
4697.678	818
4701.43	819
4709.271	820
4712.566	821
4724.37	822
4728.538	823
4737.214	824
4741.636	825
4749.647	826
4752.732	827
4837.772	828
4841.905	829
4843.364	830
4846.074	831
4848.824	832
4851.33	833
4852.664	834
4855	835
4856.544	836
4858.794	837
4869.598	838
4884.028	839
4885.615	840
4889.075	841
4895.415	842
4900.212	843
4901.776	844
4902.674	845
4904.343	846
4909.93	847
4912.847	848
4914.183	849
4915.382	850
4917.895	851
4918.981	852
4920.607	853
4922.149	854
4922.649	855
4923.068	856
4925.07	857
4926.654	858
4929.282	859
4931.326	860
4933.953	861
4936.287	862
4939.626	863
4942.043	864
4943.714	865
4945.423	866
4948.426	867
4949.178	868
4951.26	869
4953.431	870
4956.935	871
4958.02	872
4960.354	873
4961.229	874
4963.314	875
4963.983	876
4970.53	877
4971.489	878
4972.743	879
4974.327	880
4975.284	881
4976.371	882
4977.247	883
4978.831	884
4980.751	885
4982.168	886
4982.894	887
4983.752	888
4984.504	889
4986.464	890
4988.258	891
4988.968	892
4990.467	893
4991.636	894
4995.765	895
4997.183	896
4999.728	897
5002.939	898
5007.61	899
5010.153	900
5015.243	901
5025.295	902
5029.215	903
5031.133	904
5032.553	905
5035.387	906
5037.557	907
5049.442	908
5054.322	909
5057.326	910
5060.038	911
5063.914	912
5067.334	913
5069.128	914
5070.298	915
5074.093	916
5075.596	917
5078.556	918
5081.432	919
5084.185	920
5086.148	921
5087.98	922
5090.36	923
5092.194	924
5094.154	925
5095.864	926
5098.91	927
5100.828	928
5101.912	929
5103.123	930
5104.416	931
5105.708	932
5108.084	933
5109.42	934
5110.172	935
5110.669	936
5111.172	937
5111.798	938
5114.509	939
5115.886	940
5120.805	941
5122.808	942
5126.813	943
5132.277	944
5134.821	945
5143.121	946
5147.917	947
5150.876	948
5153.922	949
5158.679	950
5161.18	951
5164.225	952
5165.1	953
5172.859	954
5177.155	955
5179.324	956
5181.2	957
5182.951	958
5188.163	959
5190.501	960
5192.502	961
5194.297	962
5195.839	963
5197.258	964
5198.509	965
5202.389	966
5208.018	967
5215.023	968
5225.785	969
5232.668	970
5238.673	971
5244.596	972
5254.23	973
5264.531	974
5266.619	975
5273.957	976
5275.001	977
5276.838	978
5278.545	979
5281.092	980
5282.758	981
5283.637	982
5288.6	983
5298.817	984
5300.612	985
5302.739	986
5304.822	987
5306.368	988
5308.286	989
5311.246	990
5315.791	991
5348.158	992
5362.046	993
5367.886	994
5373.1	995
5379.985	996
5391.076	997
5397.542	998
5400.961	999
5421.563	1000
5429.032	1001
5430.867	1002
5436.914	1003
5467.738	1004
5473.452	1005
5480.165	1006
5482.626	1007
5502.816	1008
5506.526	1009
5509.402	1010
5511.365	1011
5516.41	1012
5535.889	1013
5543.059	1014
5548.315	1015
5551.571	1016
5556.116	1017
5558.7	1018
5561.665	1019
5574.719	1020
5587.188	1021
5597.201	1022
5599.62	1023
5609.21	1024
5612.3	1025
5613.717	1026
5616.3	1027
5616.928	1028
5619.013	1029
5626.604	1030
5628.688	1031
5631.024	1032
5636.655	1033
5639.155	1034
5644.786	1035
5650.835	1036
